open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672531200000,1196.13000000,1196.32000000,1195.65000000,1196.32000000,334.55920000,1672531499999,400115.31516200,1202,123.31410000,147471.99332800,0
1672531500000,1196.31000000,1196.69000000,1194.90000000,1195.38000000,682.38760000,1672531799999,815828.85764400,1318,205.89300000,246115.73358200,0
1672531800000,1195.38000000,1195.81000000,1194.55000000,1194.55000000,228.93870000,1672532099999,273642.10976000,1170,126.07550000,150692.20302900,0
1672532100000,1194.55000000,1195.98000000,1194.31000000,1195.98000000,601.89030000,1672532399999,719191.80951700,1373,220.30920000,263266.53921600,0
1672532400000,1195.98000000,1196.37000000,1195.97000000,1196.06000000,144.80480000,1672532699999,173217.27703900,1120,77.89970000,93182.76893600,0
1672532700000,1196.06000000,1196.70000000,1196.06000000,1196.61000000,394.91240000,1672532999999,472501.53461500,1054,150.43910000,179990.67145300,0
1672533000000,1196.62000000,1196.62000000,1193.72000000,1194.36000000,497.84060000,1672533299999,595097.37631500,1388,122.03490000,145798.83218500,0
1672533300000,1194.37000000,1194.43000000,1192.72000000,1194.22000000,1299.59710000,1672533599999,1551143.37348300,1987,604.55330000,721490.05995300,0
1672533600000,1194.22000000,1194.22000000,1193.02000000,1193.64000000,409.50320000,1672533899999,488742.46730000,1399,217.56530000,259627.10591500,0
1672533900000,1193.64000000,1195.06000000,1193.63000000,1194.64000000,521.02210000,1672534199999,622249.61912300,1431,332.33240000,396864.16401900,0
1672534200000,1194.65000000,1195.06000000,1194.19000000,1194.82000000,486.77330000,1672534499999,581485.05761400,1152,259.93810000,310518.53463800,0
1672534500000,1194.82000000,1195.04000000,1194.09000000,1194.09000000,287.15470000,1672534799999,343014.86520600,1238,110.47480000,131953.09114100,0
1672534800000,1194.09000000,1194.84000000,1193.84000000,1194.10000000,389.71270000,1672535099999,465454.16668700,902,117.49660000,140313.17646500,0
1672535100000,1194.11000000,1195.75000000,1194.10000000,1195.69000000,500.16840000,1672535399999,597712.54115500,755,364.83940000,435961.24616800,0
1672535400000,1195.70000000,1195.75000000,1195.38000000,1195.38000000,285.91990000,1672535699999,341821.72645400,749,54.07340000,64647.27971900,0
1672535700000,1195.38000000,1195.49000000,1195.23000000,1195.38000000,113.75000000,1672535999999,135973.55949400,536,74.77080000,89377.79779200,0
